Code CIQUAL,Groupe d'aliment,Sous-groupe d'aliment,Nom du Produit en Français,code saison,code avion,Livraison,Approche emballage ,Préparation,DQR,Score unique EF,Changement climatique,Appauvrissement de la couche d'ozone,Rayonnements ionisants,Formation photochimique d'ozone,Particules fines,Effets toxicologiques sur la santé humaine : substances non-cancérogènes,Effets toxicologiques sur la santé humaine : substances cancérogènes,Acidification terrestre et eaux douces,Eutrophisation eaux douces,Eutrophisation marine,Eutrophisation terrestre,Écotoxicité pour écosystèmes aquatiques d'eau douce,Utilisation du sol,Épuisement des ressources eau,Épuisement des ressources énergétiques,Épuisement des ressources minéraux,Changement climatique - émissions biogéniques,Changement climatique - émissions fossiles,Changement climatique - émissions liées au changement d'affectation des sols,Sous-sous-groupe d'aliment,Energie (kcal/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Fibres alimentaires (g/100 g)
13015,"fruits, légumes, légumineuses et oléagineux",fruits,"Framboise, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,4.05,0.315,1.55,4.2e-08,0.0434,0.0106,3.03e-07,6.53e-08,2.93e-09,0.042,0.000395,0.0152,0.182,81.0,118.0,2.35,15.2,8.44e-06,0.0226,1.52,0.00184,fruits crus,49.2,1.19,5.83,0.8,4.3
13136,"fruits, légumes, légumineuses et oléagineux",fruits,"Framboise, surgelée, crue",2,0,Congelé,PACK AGB,Pas de préparation,3.03,0.37,1.82,5e-08,0.786,0.0113,3.15e-07,7.2e-08,3.11e-09,0.0431,0.000469,0.0155,0.183,82.5,120.0,2.45,33.2,1.43e-05,0.0233,1.79,0.00256,fruits crus,,1.16,6.43,0.8,6.05
13016,"fruits, légumes, légumineuses et oléagineux",fruits,"Fruit de la passion ou maracudja, pulpe et pépins, cru",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.59,0.112,0.938,2.22e-08,0.108,0.00309,4.87e-08,5.41e-08,5.14e-10,0.00445,0.000266,0.00285,0.0121,9.72,24.3,2.98,11.2,5.92e-06,0.0772,0.859,0.00113,fruits crus,101.0,2.13,10.9,3.0,6.8
13997,"fruits, légumes, légumineuses et oléagineux",fruits,"Fruits rouges, crus (framboises, fraises, groseilles, cassis)",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,4.39,0.315,1.55,4.2e-08,0.0434,0.0106,3.03e-07,6.53e-08,2.93e-09,0.042,0.000395,0.0152,0.182,81.0,118.0,2.35,15.2,8.44e-06,0.0226,1.52,0.00184,fruits crus,,1.11,7.88,0.31,5.3
13083,"fruits, légumes, légumineuses et oléagineux",fruits,"Goyave, pulpe, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.44,0.14,1.19,2.69e-08,0.115,0.00623,6.19e-08,5.59e-08,6.33e-10,0.00829,0.000282,0.00383,0.0228,11.3,25.6,2.99,14.6,6.47e-06,0.0773,1.11,0.0013,fruits crus,,1.59,9.02,0.73,5.15
13018,"fruits, légumes, légumineuses et oléagineux",fruits,"Grenade, pulpe et pépins, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.05,0.0492,0.499,2.84e-08,0.0352,0.00188,2.7e-08,9.48e-09,4.41e-10,0.00196,5.72e-05,0.000881,0.00772,12.2,18.6,0.614,5.59,2.43e-06,0.0824,0.416,0.000237,fruits crus,80.6,1.44,14.3,1.2,2.3
13110,"fruits, légumes, légumineuses et oléagineux",fruits,"Griotte, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,2.61,0.272,1.04,3.23e-08,0.0873,0.00388,4.86e-08,3.73e-08,1.5e-09,0.00518,0.000375,0.00174,0.0181,95.5,1010.0,6.51,12.8,7.39e-06,0.077,0.963,0.000664,fruits crus,,1.1,10.5,0.3,1.65
13020,"fruits, légumes, légumineuses et oléagineux",fruits,"Groseille à maquereau, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.84,0.262,1.4,7.93e-07,0.197,0.00543,1.33e-07,4.38e-08,2.59e-09,0.00775,0.000453,0.00334,0.0259,247.0,21.9,3.58,23.4,1.26e-05,0.0352,1.36,0.00282,fruits crus,,0.75,4.88,0.59,4.03
13019,"fruits, légumes, légumineuses et oléagineux",fruits,"Groseille, crue",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.54,0.206,1.89,7.06e-08,0.284,0.00622,1.14e-07,2.66e-08,2.16e-09,0.00943,0.000736,0.0043,0.0305,22.7,26.6,1.24,32.8,1.8e-05,0.0782,1.81,0.0013,fruits crus,68.5,1.56,7.06,0.7,4.6
13066,"fruits, légumes, légumineuses et oléagineux",fruits,"Kaki, pulpe, cru",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.49,0.103,0.95,2.27e-08,0.0268,0.00437,4.79e-08,1.76e-08,4.19e-10,0.00531,0.000131,0.00523,0.0183,30.6,13.8,1.47,10.1,4.83e-06,0.0767,0.797,0.0763,fruits crus,68.6,0.88,14.3,,3.4
13021,"fruits, légumes, légumineuses et oléagineux",fruits,"Kiwi, pulpe et graines, cru",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,1.94,0.126,1.0,2.59e-08,0.109,0.00536,6.1e-08,3.85e-08,8.27e-10,0.00788,0.00022,0.00292,0.0264,10.0,44.2,2.73,11.7,7.91e-06,0.105,0.896,0.000913,fruits crus,60.5,0.88,11.0,0.6,2.4
13549,"fruits, légumes, légumineuses et oléagineux",fruits,"Kumquat, sans pépin, cru",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.89,0.147,0.577,2.21e-08,0.0536,0.00262,4.83e-08,2.49e-08,3.44e-10,0.00528,9.79e-05,0.00146,0.0219,15.3,26.4,10.9,7.06,3.21e-06,0.0808,0.55,-0.0542,fruits crus,,1.57,9.6,1.18,5.45
13023,"fruits, légumes, légumineuses et oléagineux",fruits,"Litchi, pulpe, cru",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,3.33,0.0667,0.554,2.28e-08,0.0626,0.00205,4.46e-08,9.54e-09,2.74e-10,0.00413,7.87e-05,0.000681,0.0151,16.2,30.8,0.955,6.64,4.57e-06,0.0777,0.475,0.00118,fruits crus,81.0,1.13,16.1,,2.0
13708,"fruits, légumes, légumineuses et oléagineux",fruits,"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, égoutté",2,0,Ambiant (long),PACK AGB,Pas de préparation,2.41,0.221,1.2,3.04e-08,1.45,0.00445,7.71e-08,3.44e-08,5.21e-09,0.00525,0.000325,0.00682,0.0153,24.4,100.0,5.02,42.2,6.26e-06,0.121,1.08,-0.00873,fruits appertisés,,,14.4,,1.9
13709,"fruits, légumes, légumineuses et oléagineux",fruits,"Macédoine ou cocktail ou salade de fruits, au sirop léger, appertisé, non égoutté",2,0,Ambiant (long),PACK AGB,Pas de préparation,2.41,0.134,0.725,1.84e-08,0.88,0.0027,4.67e-08,2.09e-08,3.16e-09,0.00318,0.000197,0.00413,0.00926,14.7,60.8,3.05,25.6,3.79e-06,0.0732,0.657,-0.00529,fruits appertisés,,,14.5,0.06,1.18
13706,"fruits, légumes, légumineuses et oléagineux",fruits,"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, égoutté",2,0,Ambiant (long),PACK AGB,Pas de préparation,2.27,0.238,1.38,3.29e-08,1.46,0.00519,9.05e-08,3.49e-08,5.28e-09,0.00676,0.000395,0.00677,0.0203,27.1,92.2,4.98,44.3,8.61e-06,0.108,1.26,0.00415,fruits appertisés,,,17.4,,2.1
13707,"fruits, légumes, légumineuses et oléagineux",fruits,"Macédoine ou cocktail ou salade de fruits, au sirop, appertisé, non égoutté",2,0,Ambiant (long),PACK AGB,Pas de préparation,2.41,0.134,0.725,1.84e-08,0.88,0.0027,4.67e-08,2.09e-08,3.16e-09,0.00318,0.000197,0.00413,0.00926,14.7,60.8,3.05,25.6,3.79e-06,0.0732,0.657,-0.00529,fruits appertisés,,,18.3,,1.26
13025,"fruits, légumes, légumineuses et oléagineux",fruits,"Mangue importée par avion, pulpe, crue",2,1,Ambiant (moyen),PACK AGB,Pas de préparation,3.52,0.84,11.6,1.97e-07,0.112,0.0684,1.62e-07,1.27e-07,1.53e-09,0.0529,0.00024,0.0205,0.228,88.0,41.5,1.21,154.0,7.24e-06,0.0787,11.5,0.00213,fruits crus,73.9,0.63,14.3,,1.6
13026,"fruits, légumes, légumineuses et oléagineux",fruits,"Melon cantaloup (par ex.: Charentais, de Cavaillon) pulpe, cru",2,0,Ambiant (moyen),PACK AGB,Pas de préparation,2.87,0.104,0.979,3.16e-08,0.142,0.00314,4.68e-08,2.35e-08,1.11e-09,0.0038,0.000226,0.0046,0.0123,7.92,43.1,1.43,13.6,5.54e-06,0.195,0.783,0.000581,fruits crus,62.7,1.13,14.8,,1.3
